city,state,population
Leesburg,VA,"39,641"
Lehi ,UT,"46,802"
Lemon Grove ,CA,"24,089"
Lemoore ,CA,"23,873"
Lenexa ,KS,"46,822"
Leominster ,MA,"41,055"
Lewiston ,ME,"35,131"
Lewisville ,TX,"101,624"
Lexington,KY,"282,114"
Liberty ,MO,"30,568"
Lima ,OH,"37,829"
Lincoln ,NE,"251,624"
Lincoln Park ,MI,"35,317"
Linden ,NJ,"39,162"
Lindenhurst,NY,"28,620"
Lisle,IL,"23,135"
Little Elm ,TX,"24,947"
Little Rock ,AR,"189,515"
Littleton ,CO,"40,777"
Livermore ,CA,"80,188"
Livonia ,MI,"91,220"
Lockport ,IL,"24,810"
Lodi,NJ,"23,776"
Lodi ,CA,"61,301"
Logan ,UT,"48,657"
Lombard,IL,"42,890"
Lompoc ,CA,"41,099"
Long Beach ,CA,"463,789"
Long Branch ,NJ,"32,622"
Longmont ,CO,"85,928"
Longview ,TX,"77,211"
Lorain ,OH,"70,239"
Los Altos ,CA,"28,349"
Los Angeles ,CA,"3,833,995"
Los Banos ,CA,"34,968"
Los Gatos,CA,"29,320"
Louisville,KY,"557,224"
Loveland ,CO,"65,587"
Loves Park ,IL,"24,457"
Lowell ,MA,"103,615"
Lubbock ,TX,"220,483"
Lufkin ,TX,"34,530"
Lynchburg ,VA,"72,596"
Lynn ,MA,"86,957"
Lynnwood ,WA,"33,572"
Lynwood ,CA,"70,025"
Macon ,GA,"92,775"
Madera ,CA,"56,700"
Madison ,WI,"231,916"
Madison Heights ,MI,"29,531"
Malden ,MA,"55,597"
Manassas ,VA,"35,205"
Manchester ,NH,"108,586"
Manhattan ,KS,"52,284"
Manhattan Beach ,CA,"36,605"
Manitowoc ,WI,"33,169"
Mankato ,MN,"36,245"
Mansfield ,OH,"49,579"
Manteca ,CA,"65,028"
Maple Grove ,MN,"61,542"
Maple Heights ,OH,"23,667"
Maplewood ,MN,"36,087"
Marana,AZ,"34,466"
Margate ,FL,"54,086"
Maricopa ,AZ,"45,571"
Marietta ,GA,"67,562"
Marion ,OH,"35,841"
Marlborough ,MA,"37,932"
Marshall ,TX,"23,798"
Marshalltown ,IA,"25,850"
Martinez ,CA,"35,145"
Maryland Heights ,MO,"25,949"
Marysville ,WA,"34,482"
Maryville ,TN,"27,156"
Mason ,OH,"29,682"
Mason City ,IA,"27,337"
Massillon ,OH,"32,613"
Matthews,NC,"26,901"
Maywood,IL,"25,035"
Maywood ,CA,"28,224"
McAllen ,TX,"129,776"
McHenry ,IL,"26,862"
McKinney ,TX,"121,211"
McMinnville ,OR,"31,185"
Medford ,OR,"73,212"
Medina ,OH,"26,011"
Melbourne ,FL,"77,351"
Melrose ,MA,"26,708"
Memphis ,TN,"669,651"
Menlo Park ,CA,"30,087"
Menomonee Falls,WI,"34,607"
Mentor ,OH,"51,825"
Mequon ,WI,"23,584"
Merced ,CA,"77,160"
Mercer Island ,WA,"24,163"
Meriden ,CT,"59,186"
Meridian ,ID,"66,916"
Merrillville,IN,"33,057"
Mesa ,AZ,"463,552"
Mesquite ,TX,"132,123"
Methuen ,MA,"44,055"
Miami ,FL,"413,201"
Miami Beach ,FL,"84,633"
Miami Gardens ,FL,"109,346"
Michigan City ,IN,"32,405"
Middletown ,OH,"51,422"
Midland ,TX,"106,561"
Midvale ,UT,"28,129"
Midwest City ,OK,"56,394"
Milford ,CT,"54,136"
Millville ,NJ,"28,930"
Milpitas ,CA,"67,503"
Milwaukee ,WI,"604,477"
Minneapolis ,MN,"382,605"
Minnetonka ,MN,"50,081"
Minot ,ND,"35,419"
Miramar ,FL,"108,484"
Mishawaka ,IN,"50,026"
Mission ,TX,"67,119"
Mission Viejo ,CA,"94,461"
Missoula ,MT,"68,202"
Missouri City ,TX,"74,723"
Mobile ,AL,"191,022"
Modesto ,CA,"202,967"
Moline ,IL,"43,088"
Monroe ,LA,"51,215"
Monroeville,PA,"27,639"
Monrovia ,CA,"37,651"
Montclair ,CA,"36,530"
Montebello ,CA,"61,906"
Monterey ,CA,"27,763"
Monterey Park ,CA,"61,234"
Montgomery ,AL,"202,696"
Moore ,OK,"52,615"
Moorhead ,MN,"36,012"
Moorpark ,CA,"36,372"
Moreno Valley ,CA,"190,871"
Morgan Hill ,CA,"38,096"
Morgantown ,WV,"29,642"
Morristown ,TN,"27,636"
Mount Pleasant,SC,"65,472"
Mount Pleasant ,MI,"26,675"
Mount Prospect,IL,"53,338"
Mount Vernon ,NY,"68,653"
Mountain View ,CA,"71,348"
Muncie ,IN,"64,975"
Mundelein,IL,"33,717"
Murfreesboro ,TN,"101,753"
Murray ,UT,"46,201"
Murrieta ,CA,"97,918"
Muskego ,WI,"23,234"
Muskegon ,MI,"39,401"
Muskogee ,OK,"40,099"
Myrtle Beach ,SC,"30,596"
Nacogdoches ,TX,"32,205"
Nampa ,ID,"80,362"
Napa ,CA,"74,547"
Naperville ,IL,"143,117"
Nashua ,NH,"86,576"
Nashville,TN,"596,462"
National City ,CA,"58,680"
Naugatuck,CT,"31,931"
Neenah ,WI,"25,060"
New Albany ,IN,"37,296"
New Bedford ,MA,"91,365"
New Berlin ,WI,"38,649"
New Bern ,NC,"28,586"
New Braunfels ,TX,"53,547"
New Britain ,CT,"70,486"
New Brunswick ,NJ,"51,149"
New Castle ,PA,"24,212"
